product_name,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
Tru Fru - White & Milk Chocolate Strawberries - 8.0 oz,KeHE,10,6,40.02,400.2,,,,850012117162,6,ASU,5233,13777,false,
Snack Factory Pretzel Crisps - Milk Chocolate & Caramel - 5.5 oz,KeHE,2,12,67.44,134.88,,,,049508251415,6,ASU,3258,13777,false,
Skinny Pop Popcorn - Original - 4.4 oz,KeHE,3,12,47.16,141.48,,,,850251004001,6,ASU,1349,13777,false,
Olipop Sparkling Tonic - Cherry Vanilla - 12.0 fl. oz,KeHE,3,12,24.24,72.72,,,,860003223307,6,ASU,2405,13777,false,
Lesser Evil Popcorn - Himalayan Sweet - 6.4 oz,KeHE,2,12,41.16,82.32,,,,180999001025,6,ASU,3147,13777,false,
Clif Bar - White Chocolate Macadamia Nut - 2.4 oz,KeHE,3,12,20.88,62.64,,,,722252161093,6,ASU,2164,13777,false,
Annie's Macaroni & Cheese - Shells & White Cheddar - 6.0 oz,KeHE,2,12,34.08,68.16,,,,013562000043,6,ASU,1582,13777,false,
Olipop Sparkling Tonic - Vintage Cola - 12.0 oz,KeHE,3,12,24.24,72.72,,,,860439001005,6,ASU,2525,13777,false,
Hippeas - Vegan White Cheddar - 1.5 oz,KeHE,3,6,10.14,30.42,,,,810122080107,6,ASU,3115,13777,false,
Tru Fru Frozen Raspberries - White & Dark Chocolate - 8.0 oz,KeHE,2,6,40.92,81.84,,,,850241008842,6,ASU,7306,13777,false,
Kerrygold Pure Irish Butter - Salted - 8.0 oz,KeHE,1,20,89.6,89.6,,,,767707001067,6,ASU,2191,13777,false,
Olipop Sparkling Tonic - Ginger Lemonade - 12.0 oz,KeHE,1,12,21.12,21.12,,,,860439001029,6,ASU,3550,13777,false,
Olipop Sparkling Tonic - Strawberry Vanilla - 12.0 fl. oz,KeHE,1,12,24.12,24.12,,,,860439001012,6,ASU,3551,13777,false,
Dots Pretzels - Original - 2.5 oz,KeHE,2,12,23.16,46.32,,,,855712008123,6,ASU,7108,13777,false,
Snack Factory Pretzel Crisps - Honey Mustard Onion - 7.2 oz,KeHE,2,12,28.44,56.88,,,,049508100010,6,ASU,2053,13777,false,
Snack Factory Pretzel Crisps - Sea Salt & Cracked Peppers - 7.2 oz,KeHE,2,12,28.44,56.88,,,,049508100034,6,ASU,2052,13777,false,
Snack Factory Pretzel Chips - Everything Deli Style - 14.0 oz,KeHE,2,12,33.72,67.44,,,,049508001508,6,ASU,2234,13777,false,
Good Health Veggie Stix - Sea Salted - 6.25 oz,KeHE,1,10,35.8,35.8,,,,755355005117,6,ASU,5622,13777,false,
