product_name,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason,name_ordered
Ruffles - Jalapeno Ranch - 8.5 Oz,Frito Lay,3,1,0,0,,,,,2,USC,600,13421,True,not_found,
Chester's Fries - Flamin' Hot - 2.625 oz,Frito Lay,17,1,1.91,32.47,,,,28400336256,2,USC,35,13421,True,not_found,
